,a,b
212,BCS,Bowl Championship Series
213,BD,Big Deal
214,BDN,Busy Doing Nothing
215,BDOML,Best Day Of My Life
216,BDU,Brain Dead User Battle Dress Uniform
217,BFA,Best Friends Always
218,BFAB,Born From A Boombox Back For A Bit
219,BFAM,Brother From Another Mother
220,BFB,Better From Behind
221,BFF,Best Friends Forever Big Fat Friend/Female
223,BFFAE,Best Friends Forever And Ever Best Friends For All Eternity
225,BFFL,Best Friend For Life
226,BFFLE,Best Friends For Like Ever
227,BFFLTDDUP,Best Friends For Life Till Death Do Us Part
228,BFFN,Best Friend For Now
229,BFFWB,Best Friend Forever With Benefits
230,BFITW,Best Friend In The World
231,BFK,Big Fat Kiss
232,BFMV,Bullet For My Valentine (band)
233,BFN,Bye For Now
234,BFP,Bad For Pics Big Fat Positive ie pregnant
235,BFTP,Blast From The Past
236,BFUT,Best Friends Until Tomorrow
237,BFWB,Best Friend With Benefits
238,BG,Bad Game Baby Gangster
239,BGD,Black Gangster Disciples
240,BGF,Best Girl/Guy Friend
241,BGL,"Big Game License, likes fat people"
242,BGM,Background Music
243,BGT,Britain’s Got Talent (TV show)
244,BH,Be Happy Bloody Hell Big Head
245,BHD,Bad Hair Day
246,BHH,Bless His/Her Heart
247,BHL8,Be Home Late
248,BHM,Big Handsome Man
249,BHO,Barak Hussein Obama
250,BHS,Be Home Soon
251,BIAB,Back In A Bit
252,BIC,Believe It Comrade
253,BICBW,But I Could Be Wrong
254,BIEH,Best I Ever Had
255,BIFFL,Best Internet Friend For Life
256,BING,But It’s Not Google
257,BM,Bowel Movement Black Man BMW
258,BM4L,Best Mates For Life
259,BMAK,Blow Me A Kiss
260,BMB,Bebo Me Back
261,BMBO,Blow My Brains Out
262,BME,Body Modification Ezine
263,BMFE,Best Mates Forever
264,BMFL,Best Mates For Life
265,BMG,Be My Guest
266,BMI,Body Mass Index
267,BML,Bless My Life
268,BMOC,Big Man On Campus
269,BMS,Bitchy Men Syndrome
270,BMT,Before My Time Basic Military Training
271,BMTH,Bring Me The Horizon (Band)
272,BMTTVE,Best Mates ‘Til The Very End
273,BMUS,"Beam me up, Scotty"
274,BMV,Be My Valentine
275,BMW,Bavarian Motor Works (car manufacturer)
276,BMX,Bicycle Motocross
277,BNB,Bad News Bears Bed ‘N’ Breakfast Bread ‘N’ Butter
278,BNF,Big Name Fan
279,BNI,Batteries Not Included
280,BNIB,Brand New In Box
281,BNOC,Big Name On Campus
282,BNP,British National Party
283,BNR,But Not Really
284,BNWOT,Brand New Without Tags
285,BNWT,Brand New With Tags
286,BO,Body Odour
287,BOAT,Bust Out Another Thousand
289,BOBFOC,"Body Off Baywatch, Face Off Crimewatch"
290,BOED,Book of Exalted Deeds ( )
291,BOGO,Buy One Get One
292,BOGOF,Buy One Get One Free
293,BOGSAT,Bunch Of Guys Sitting Around Talking
294,CC,Credit Card Carbon Copy Crowd Control Country Code
295,CCC,Coricidin Cough & Cold (Dextromethorophan or DXM).
296,CCG,Collectible Card Game
297,CCIE,Cisco Certified Internetwork Expert
298,CCL,Couldn’t Care Less
299,CCNA,Cisco Certified Network Associate
300,CCR,Creedence Clearwater Revival (band)
301,CCTV,Closed-Circuit Television
302,CCW,Counterclockwise Carrying a Concealed Weapon
303,CD,Compact Disc Cross Dresser
304,CDC,Cult of the Dead Cow Crudely Drawn Cock
305,CDMA,Code Division Multiple Access (voice/data transmission)
306,CD-RW,Compact Disk Rewritable
307,CLWY,Can’t Live Without You
308,CM,Call Me
309,CMAR,Cry Me A River
310,CMB,Call Me Back
311,CME,Close My Eyes
312,CMEO,Crying My Eyes Out
313,CMH,Cross My Heart
314,CMHO,Cry My Heart Out
315,CMI,Count Me In
316,CMIIW,Correct Me If I’m wrong.
317,CMIYC,Catch Me If You Can
318,CML,Call Me Later
319,CMN,Call Me Now
320,CMOS,Complementary Metal-Oxide Semiconductor
321,CMS,Content Management System
322,CMU,Cracks Me Up
323,CMYK,"Cyan, Magenta, Yellow, Key/blacK"
324,CNN,Cable News Network
325,CNY,Chinese New Year
326,CO,Commanding Officer Corrections Officer Company Counter Offer
327,COA,Certificate Of Authenticity
328,COD,Cash On Delivery  Call Of Duty
329,COL,Crying Out Loud
330,CRB,Criminal Records Bureau (UK)
331,CRBT,Crying Real Big Tears
332,CWTSY,Can’t Wait To See You
333,CWYL,Chat With You Later.
334,CYB,Count Your Blessings
335,CYBI,Can You Believe It?
336,CYDI,Can You Dig It?
337,CYDM,Check Your Direct Messages
338,CYE,Check Your Email
339,CYF,Cross Your Fingers
340,CYL,Catch You Later
341,CYM,Check Your Mail
342,DLN,Don’t Look Now
343,DLS,Dirty Little Secret
344,DLTBBB,Don’t Let The Bed Bugs Bite
345,DLTBGYD,Don’t Let The Bastards Grind You Down
346,DLTM,Don’t Lie To Me
347,DLV,Demonstration of Lower Value
348,DM,Don’t Mind Doesn’t Matter Direct Message
349,DMAF,Don’t Make A Fuss
350,DMAL,Drop Me A Line
351,DMB,Dave Matthews Band
352,DMC,Deep Meaningful Conversation
353,DMCA,Digital Millennium Copyright Act
354,DMI,Don’t Mention It
355,DMIID,Don’t Mind If I Do
356,DMM,Don’t Mind Me
357,DMML,Don’t Make Me Laugh
358,DMS,Dirty Money Syndicate
359,DMT,Di-Methyl Tryptamine (drug)
360,DMTA,Dirty Minds Think Alike
361,DMV,Department of Motor Vehicles
362,DMW,Dead Man Walking
363,DMX,Dark Man X (rapper)
364,DMY,Don’t Mess Yourself
365,DMZ,De-militarized zone
366,DN,Doing Nothing
367,DNA,Deoxyribonucleic Acid Did Not Attend Does Not Apply
368,DNC,Democratic National Committee
369,DND,Do Not Disturb
370,DNDC,"Don’t Know, Don’t Care"
371,DNE,Do Not Erase Does Not Exist
372,DNF,Did Not Finish
373,DNFTT,Do Not Feed The Troll
374,DNK,Do Not Know
375,DNM,Does Not Matter Deep and Meaningful
376,DNP,Do Not Post
377,DNR,Do Not Resuscitate
378,DNS,Domain Name Service Did Not Start
379,DNTK,Don’t Need To Know
380,DNW,Do Not Want
381,DOA,Dead On Arrival Deteriorate On Approach
382,DOB,Date Of Birth
383,DOC,Doctor Drug of Choice
384,DOD,Day of Defeat
385,DOE,Depends On Experience
386,DOF,Depth of Field
387,DOFL,Dying On Floor Laughing
388,DRT,Dead Right There
389,DS,Darling Son
390,DSD,Do Some Damage
391,DSL,Digital Subscriber Line
392,DSLR,Digital Single Lens Reflex (camera)
393,DSP,Digital Signal Processing
394,DSS,Department of Social Services
395,DST,Daylight Saving Time
396,DT,Down Town
397,DTA,Don’t Trust Anyone
398,DTAM,Death To All Men
399,DTB,Don’t Text Back
400,DTC,Down To Cuddle
401,DTD,Drunk Till Dawn Drunk Till Death
402,DTE,Down To Earth
403,DTH,Down To Hang
404,DTL,Does The Look
405,DTM,Doing Too Much Dead To Me
406,DTMS,Does That Make Sense?
407,DTMWTD,Don’t Tell Me What To Do
408,DTP,Disturbing The Peace
409,DTR,Define The Relationship
410,DTRT,Do The Right Thing
411,DTS,Down The Shore Down To Snuggle
412,DTT,Don’t Touch That
413,DTTC,Don’t Text The Cell
414,DTTM,Don’t Talk To Me
415,DTYT,Don’t Take Your Time
416,EBM,Electronic Body Music
417,EBT,Electronic Benefits Transfer
418,ELOL,Evil Laugh Out Loud
419,EOB,End Of Business
420,EOC,End Of Conversion
421,EOD,End Of Discussion
422,EOE,Equal Opportunity Employer
423,EOF,End Of File
424,EOG,End Of Grade
425,EOL,End Of Lecture
426,EOM,End Of Message
427,EOR,End Of Rant
428,EOS,End Of Show
429,EOT,End Of Thread (i.e. end of discussion)
430,EOTD,End Of The Day
431,EOTW,End Of The World
432,EOTWAWKI,End Of The World As We Know It
433,EOW,End Of Watch
434,EPOS,Electronic Point Of Sale
435,EPROM,Electronically Programmable ROM
436,ERP,Erotic Role-Play
437,ESA,European Space Agency
438,ESB,Empire Stikes Back (Star Wars)
439,ESD,Electro-Static Discharge
440,ESL,English as Second Language
441,ESOL,English for Speakers of Other Languages
442,ESP,Extra Sensory Perception
443,ESPN,Entertainment and Sports Programming Network
444,ESRB,Entertainment Software Rating Board
445,EST,Eastern Standard Time Established
446,ESTD,Easier Said Than Done
447,ET,Extra Terrestrial
448,ETA,Estimated Time of Arrival Edited to Add
449,ETC,Et Cetera (and so on)
450,ETD,Estimated Time of Departure
451,ETF,Escape The Fate (band)
452,ETID,EveryTime I Die (band)
453,ETW,Enjoy The Weekend
454,EU,European Union
455,EUA,End User Agreement
456,EUC,Excellent Used Condition
457,EULA,End User License Agreement
458,EV,Expected Value
459,FYA,For Your Amusement
460,FYC,For Your Convenience For Your Consideration
461,FYE,For Your Entertainment
462,FYEO,For Your Eyes Only
463,FYI,For Your Information
464,FYK,For Your Knowledge
465,FYM,Free Your Mind
466,FYP,Fixed Your Post
467,FYR,For Your Review For Your Records
468,FYT,For Your Time
469,G O A T,Greatest Of All Time
470,GA,Go Ahead
471,GAC,Guilty As Charged Get A Clue
472,GAFIA,Get Away From It All
473,GAFM,Get Away From Me
474,GB,Great Britain Gigabyte
475,GBA,God Bless America
476,GBFN,Goodbye for Now
477,GBH,Grievous Bodily Harm
478,GBML,Good Bye My Love
479,GBNF,Gone But Not Forgotten
480,GBP,Great British Pounds (Sterling)
481,GBTM,Get Back To Me
482,GBTW,Get Back To Work
483,GBU,God Bless You
484,GBWY,God Be With You
485,GBY,God Bless You
486,GC,Good Contition
487,GCF,Good Clean Fun
488,GCMG,God Calls Me God
489,GCSE,General Certificate of Secondary Education (UK)
490,GCWOK,Gay Couple Without Kids
491,GD,Gangsta Disciple
492,GDFR,Going Down For Real
493,GDI,God Damn It
494,GDP,Gross Domestic Product
495,GE,Good Evening
496,GED,General Educational Development
497,GFA,Grenade Free America
498,GFAK,Go Fly A Kite
499,GFC,Global Financial Crisis
500,GFETE,Grinning From Ear To Ear
501,GFF,Grenade Free Foundation
502,GFI,Go For It
503,GFN,Gone For Now
504,GFP,Good For Pics
505,GFTW,Go For The Win
506,GFU,Good For You
507,GFWL,Games For Windows Live
508,GFY,Good For You
509,GG,Good Game
510,GGA,Good Game All
511,GGBB,Good Game Bye Bye
512,GGG,"Good, Giving, and Game (in bed)"
513,GGN,Gotta Go Now
514,GGNORE,Good Game No Rematch
515,GGOH,Gotta Get Outta Here
516,GH,Guitar Hero
517,GHB,Gamma Hydroxybutyrate (drug)
518,GHD,Good Hair Day
519,GIWIST,"Gee, I Wish I’d Said That."
520,GIY,Google It Yourself
521,GIYF,Google Is Your Friend
522,GJ,Good Job
523,GJOAC,Go Jump Off A Cliff
524,GJWHF,Girls Just Wanna Have Fun
525,GK,Good Kid
526,GKY,Go Kill Yourself
527,GL,Good Luck Good Looking
528,GL HF,"Good Luck, Have Fun"
529,GLA,Good Luck All
530,GLAG,Giggling Like A Girl
531,GLOTR,Good Luck On The Rebuild
532,GLTA,Good Luck to All
533,GLTY,Good Luck To You
534,GLU,Guys/Girsl Like Us
535,GLWS,Good Luck With Sale
536,GLWT,Good Luck With That
537,GM,General Motors Good Morning Genetically Modified Good Move
538,GMA,"Good Morning, America"
539,GMAB,Give Me A Break
540,GMT,Greenwich Mean Time
541,GMTA,Great Minds Think Alike
542,GMV,Got My Vote
543,GMY,Good Man Yourself
544,GN,Good Night
545,GND,Girl Next Door
546,GNE,Good Night and Everything
547,GNFB,Good Night Facebook
548,GNSD,"Good Night, Sweet Dreams"
549,GOAT,Greatest Of All Time
550,GOMER,"Get Out of My Emergency Room, unwelcome patient"
551,GOMF,Get Outta My Face
552,GOML,Get On My Level
553,GOOMF,Get Out Of My Face
554,GOOML,Get Out Of My Life
555,GOP,Grand Old Party
556,GP,General Principle
557,GPA,Grade-Point Average
558,GPC,Generic Pack of Cigarettes Get/Post/Cookie (web pages)
559,GPL,General Public License
560,GPOY,Gratuitous Picture Of Yourself
561,GPOYW,Gratuitous Picture Of Yourself Wednesday
562,GPRS,General Packet Radio Services
563,GPS,Global Positioning System
564,GPU,Graphics Processing Unit
565,GR,Gotta Run
566,GSD,Getting Stuff Done
567,GSM,Global System for Mobile communications
568,GSOH,Good Sense Of Humor
569,GSR,Gun Shot Residue
570,GSTQ,God Save The Queen
571,GSW,Gun Shot Wound
572,GTB,Go To Bed
573,GTBB,Good To Be Back
574,GTBOSH,Glad To Be Of Some Help
575,GTD,Getting Things Done
576,GTG,Got To Go
577,GTGG,Got To Get Going
578,GTH,Go To Hell
579,GTHBA,Good Times Had By All
580,GTHO,Get The Hell Out
581,GTK,Good To Know
582,GTM,Giggling To Myself
583,GTO,Gran Turismo Omologato
584,GTRM,Going To Read Mail
585,GTSY,Good To See You
586,GTTS,Got The T-Shirt
587,GTW,Got To Work
588,GU,Grow Up
589,GUTI,Get Used To It
590,GW,Good Work
591,GWAS,Game Was A Success
592,GWC,Guy With Camera
593,GWG,Girl With Glasses
594,GWI,Get With It
595,GWK,Game Winning Kill
596,GWP,Gift With Purchase
597,GWR,Guinness World Records
598,GWS,Get Well Soon
599,GWTF,Go With The Flow
600,GWTP,Get With The Program
601,GYALDEM,Group of girls
602,GYC,Get Your Coat
603,GYFS,Get Your Facts Straight
604,GYO,Get Your Own
605,GYT,Get Yourself Tested
606,HAGD,Have A Good Day
607,HAGE,Have A Good Evening
608,HAGL,Have A Good Life
609,HAGN,Have A Good Night
610,HAGO,Have A Good One
611,HAGS,Have A Great Summer
612,HAGT,Have A Great Time
613,HAISTK,How Am I Supposed To Know?
614,HAND,Have A Nice Day
615,HAWT,Hot Having A Wonderful Time
616,HAY,How Are You
617,HAYD,How Are You Doing?
618,HAYT,How Are You Today?
619,HBD,Happy Birthday
620,HBK,Heart Break Kid
621,HBN,How About Now
622,HBO,Home Box Office
623,HBP,Half-Blood Prince (Harry Potter)
624,HBT,How ‘Bout That
625,HBTU,Happy Birthday To You
626,HBTY,Happy Birthday To You
627,HBY,How About You?
628,HC,Holy Cow
629,HCDAJFU,He Could Do A Job For Us
630,HCIT,How Cool Is That?
631,HD,High-Definition
632,HDD,Hard Disk Drive
633,HDMI,High Definition Multimedia Interface
634,HDTH,How Did That Happen?
635,HDTV,High Definition Television
636,HDY,How Dare You
637,HDYD,How Do You Do?
638,HDYDT,How Did You Do That?
639,HDYK,How Do/Did You Know?
640,HE,Happy Ending High Explosives
641,HEA,Happily Ever After
642,HENRY,"High Earner, Not Rich Yet"
643,HF,Have Fun
644,HFFA,Hot From Far Away
645,HFGL,"Have Fun, Good Luck"
646,HFY,Here For You Happy for You
647,HG,Holy Grail
648,HGH,Haters Gonna Hate
649,HGI,How Goes It?
650,HGL,Happy Go Lucky
651,HGTV,Home and Garden Television
652,HGV,Heavy Goods Vehicle
653,HH,Holding Hands
654,HHIS,Hanging Head In Shame
655,HHOJ,"Ha-Ha, Only Joking"
656,HHOK,"Ha-Ha, Only Kidding"
657,HHVF,"Ha-Ha, Very Funny"
658,HHWW,Holding Hands While Walking
659,HIG,How’s It Going?
660,HIIK,Hell If I Know
661,HIMYM,How I Met Your Mother (TV show)
662,HIV,Human Immunodeficiency Virus
663,HIWTH,Hate It When That Happens
664,HJNTIY,He’s Just Not That Into You
665,HK,Hong Kong Hostile Kids
666,HL,Half Life (game)
667,HLAS,"Hook, Line And Sinker"
668,HMB,Hit Me Back (reply)
669,HMI,Human Machine Interface
670,HMIHY,How May I Help You?
671,HML,Hate My Life
672,HMP,"Help Me, Please"
673,HMS,Her Majesty’s Ship (UK)
674,HMU,Hit Me Up
675,HMUL,Hit Me Up Later
676,HMV,His Master’s Voice
677,HNG,Horny Net Geek
678,HNOS,Home Network Operating System
679,HNR,Hit ‘N’ Run
680,HNY,Happy New Year
681,HO,Hold On Head Office
682,HOA,Home Owners Association
683,HOAS,Hold On A Second
684,HOAY,How Old Are You?
685,HOF,Hall Of Fame Heavy on Flag
686,HOG,Harley Owner Group
687,HOH,Head Over Heels  Hard Of Hearing
688,HOLLAND,Hope Our Love Lasts And Never Dies
689,HOV,High Occupancy Vehicle
690,HOWDY,How Do You Do?
691,HP,Harry Potter
692,HQ,High Quality
693,HR,Human Resources
694,HRC,Human Rights Campaign
695,HRH,His/Her Royal Highness
696,HSBC,Hong Kong and Shanghai Banking Corporation
697,HSH,Home Sweet Home
698,HSIK,How Should I Know?
699,HSIT,How Sad Is That
700,HSL,"Hue, Saturation, Lightness"
701,HSM,High School Musical
702,HSP,Highly Sensitive Person
703,HSPDA,High Speed Packet Data Access
704,HST,High Speed Train
705,HSV2,Herpes Simplex Virus 2
706,HT,Hat Tip (Thanks) Home Time Handheld Transceiver
707,HTBT,Had To Be There
708,HTC,Hit The Cell
709,HTE,Hard To Explain
710,HTG,Hard To Get
711,HTH,Hope That Helps How The Hell
712,HTHFYS,Hope To Hear From You Soon
713,HTM,Hand To Mouth
714,HTML,Hypertext Markup Language
715,HTSYS,Hope To See You Soon
716,HTTP,Hyper-Text Transfer Protocol
717,HTTPS,Hyper-Text Transfer Protocol Secure
718,HTTR,Hail To The Redskins
719,HU,Hollywood Undead (Band)
720,HUA,Heard Understood Acknowledged
721,HVAC,"Heating, Ventilating, Air Conditioning"
722,HVD,Happy Valentine’s Day
723,HWB,Hottie With Body
724,HWGA,Here We Go Again
725,HWP,Height Weight Proportional
726,HWSNBN,He Who Shall Not Be Named
727,HWU,"Hey, What’s Up?"
728,HWYD,How Was Your Day?
729,HYB,How You Been?
730,HYD,How Ya Doing?
731,HYFB,Hope You Feel Better
732,HYG,Here You Go
733,HYH,Have You Heard Hold Your Horses
734,HYIP,High Yield Investment Program
735,HYP,"Harvard, Yale, Princeton"
736,HYS,Have Your Say
737,HYU,Hit You Up
738,IA,I Agree
739,IAB,I Am Bored
740,IABW,In A Bad Way
741,IAC,In Any Case
742,IAD,It All Depends
743,IAE,In Any Event
744,IAG,It’s All Good
745,IAK,I Already Know
746,IAL,I Ain’t Laughing I Actually Laughed
747,IALTO,I Always Love That One
748,IAMA,I Am Mildly Amused
749,IANAD,I Am Not A Doctor
750,IANAL,I Am Not A Lawyer (this is an uninformed opinion)
751,IAS,In A Second
752,IAU,I Adore You
753,IAW,In Accordance With I Agree With
754,IAWTC,I Agree With That/This Comment
755,IAWTCSM,I Agree With This Comment So Much
756,IAWTP,I Agree With This Post
757,IAY,I Adore You
758,IB,I’m Back
759,IB2D,I Beg To Differ
760,IB4TL,In Before The Lock
761,IBAN,International Bank Account Number
762,IBB,I’ll Be Back
763,IBK,Idiot Behind Keyboard
764,IBL,In Before Lock
765,IBM,International Business Machines
766,IBMTS,I’ve Been Meaning To Say
767,IBS,Irritable Bowel Syndrome
768,IBTD,In Before The Delete I Beg To Differ
769,IBTL,In Before the Lock
770,IBUWU,I’m Breaking Up With You
771,IBW,I’ll Be Waiting
772,IBYP,I Beg Your Pardon
773,ICAM,I Couldn’t Agree More
774,ICAY,I Care About You
775,ICB,I Can’t Believe…
776,ICBB,I Can’t Be Bothered
777,ICBI,I Can’t Believe It
778,ICBINB,I Can’t Believe It’s Not Butter
779,ICBM,Intercontinental Ballistic Missile
780,ICBSST,I Can’t Believe She Said That
781,ICBW,It Could Be Worse
782,ICC,Ice Crown Citadel ( )
783,ICCL,I Couldn’t Care Less
784,ICR,I Can’t Remember
785,ICSL,I Couldn’t/Can’t Stop Laughing
786,ICSTAY,I Can’t Stop Thinking About You
787,ICT,Information and Communication Technology
788,ICU,Intensive Care Unit I See You
789,ICW,In Connection With I Can’t Wait
790,ICYDK,In Case You Didn’t Know
791,ICYMI,In Case You Missed It
792,IDBI,I Don’t Believe It
793,IDBY,I Don’t Believe You
794,IDC,I Don’t Care
795,IDE,Integrated Development Environment Integrated Device Electronics
796,IDEC,I Don’t Even Care
797,IDEK,I Don’t Even Know
798,IDEKY,I Don’t Even Know You
799,IDEWTK,I Don’t Even Want To Know
800,IDFG,I Don’t Feel Good
801,IDFLI,I Don’t Feel Like It
802,IDGAD,I Don’t Give A Damn
803,IDGHP,I Don’t Get Hashtag Phrases I Don’t Get His/Her Point I Don’t Generally Hate People
804,IDGI,I Don’t Get It
805,IDHAC,I Don’t Have A Clue
806,IDHTT,I Don’t Have The Time
807,IDI,I Doubt It
808,IDJ,I Don’t Judge
809,IDK,I Don’t Know
810,IDKE,I Don’t Know Either
811,IDKW,I Don’t Know Why
812,IDKWTD,I Don’t Know What To Do
813,IDKWYM,I Don’t Know What You Mean
814,IDKY,I Don’t Know Why
815,IDL,I Don’t Like …
816,IDLI,I Don’t Like It
817,IDLT,I Don’t Like That
818,IDLY,I Don’t Love/Like You
819,IDM,It Doesn’t Matter Intelligent Dance Music
820,IDK,I Don’t Know
821,IDNK,I Do Not Know
822,IDR,I Don’t Remember
823,IDRC,I Don’t Really Care
